UserId	CheckinTime	VenueId	VenueType	X	Y
161	2019-07-06T07:20:00	295	Workplace	1385.9094651757312	3610.2675923037073
190	2019-07-06T07:20:00	149	Restaurant	3214.831164254914	1854.2532487275216
2	2019-07-06T07:25:00	224	Restaurant	72.06290852190406	5235.805434177497
5	2019-07-06T07:25:00	374	Restaurant	3457.9857195275254	4293.203806306731
27	2019-07-06T07:25:00	299	Restaurant	944.2472848304708	4411.842413592623
69	2019-07-06T07:25:00	298	Pub	4171.157508848106	2832.550929200438
107	2019-07-06T07:25:00	153	Apartment	-368.8985057918544	5981.931288173697
128	2019-07-06T07:25:00	73	Pub	2115.0617755277826	2662.7099618813054
130	2019-07-06T07:25:00	374	Restaurant	3457.9857195275254	4293.203806306731
131	2019-07-06T07:25:00	74	Restaurant	2929.449266074544	2650.1275685260744
137	2019-07-06T07:25:00	374	Restaurant	3457.9857195275254	4293.203806306731
195	2019-07-06T07:25:00	169	Apartment	909.2341229779522	6760.911324854127
9	2019-07-06T07:30:00	73	Pub	2115.0617755277826	2662.7099618813054
35	2019-07-06T07:30:00	69	Workplace	-1873.3813601495451	2770.6613660315566
76	2019-07-06T07:30:00	140	Workplace	6991.304228680157	-540.2139129134823
98	2019-07-06T07:30:00	73	Pub	2115.0617755277826	2662.7099618813054
121	2019-07-06T07:30:00	415	Apartment	-4710.085117929661	6669.328768937068
158	2019-07-06T07:30:00	374	Restaurant	3457.9857195275254	4293.203806306731
224	2019-07-06T07:30:00	455	Pub	-4208.95825391248	5444.842765370748
8	2019-07-06T07:35:00	373	Pub	2134.8180662065633	7855.141309104324
10	2019-07-06T07:35:00	223	Pub	409.366639029351	4737.119867861318
17	2019-07-06T07:35:00	456	Restaurant	-4521.189679594014	4847.099060257379
41	2019-07-06T07:35:00	73	Pub	2115.0617755277826	2662.7099618813054
82	2019-07-06T07:35:00	223	Pub	409.366639029351	4737.119867861318
119	2019-07-06T07:35:00	374	Restaurant	3457.9857195275254	4293.203806306731
122	2019-07-06T07:35:00	242	Apartment	2396.446877881094	4961.15161343148
149	2019-07-06T07:35:00	20	Apartment	-696.8847860037017	2678.0580719981363
164	2019-07-06T07:35:00	374	Restaurant	3457.9857195275254	4293.203806306731
168	2019-07-06T07:35:00	11	Apartment	588.3982493974648	1136.2439501883441
186	2019-07-06T07:35:00	253	Apartment	1911.3524884965134	4235.754333616719
4	2019-07-06T07:40:00	224	Restaurant	72.06290852190406	5235.805434177497
15	2019-07-06T07:40:00	223	Pub	409.366639029351	4737.119867861318
40	2019-07-06T07:40:00	224	Restaurant	72.06290852190406	5235.805434177497
48	2019-07-06T07:40:00	139	Workplace	6872.16923283671	781.8060083649307
85	2019-07-06T07:40:00	220	Workplace	848.6976868988515	7047.005434212317
86	2019-07-06T07:40:00	298	Pub	4171.157508848106	2832.550929200438
88	2019-07-06T07:40:00	214	Workplace	802.8880287658833	7047.005434212317
201	2019-07-06T07:40:00	327	Apartment	3535.714016489984	4773.932811771158
240	2019-07-06T07:40:00	366	Workplace	3461.98799303714	4385.758722190481
244	2019-07-06T07:40:00	439	Apartment	-4232.90762944135	5552.895895122063
50	2019-07-06T07:45:00	223	Pub	409.366639029351	4737.119867861318
162	2019-07-06T07:45:00	227	Apartment	3236.653237074842	3828.684578519004
